,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
23,"lynch j., cain m., frame d., pierrehumbert r.",57200726702;24167819500;8633784600;7005137442;,Agriculture's Contribution to Climate Change and Role in Mitigation Is Distinct From Predominantly Fossil CO2-Emitting Sectors,"Department of Physics, University of Oxford, Oxford, United Kingdom; Centre for Environmental and Agricultural Informatics, Cranfield University, Cranfield, United Kingdom; New Zealand Climate Change Research Institute, Victoria University of Wellington, Wellington, New Zealand","Lynch, J., Department of Physics, University of Oxford, Oxford, United Kingdom; Cain, M., Department of Physics, University of Oxford, Oxford, United Kingdom, Centre for Environmental and Agricultural Informatics, Cranfield University, Cranfield, United Kingdom; Frame, D., New Zealand Climate Change Research Institute, Victoria University of Wellington, Wellington, New Zealand; Pierrehumbert, R., Department of Physics, University of Oxford, Oxford, United Kingdom",agriculture; climate change; climate policy; co2; methane; nitrous oxide
24,"dayathilake d.d.t.l., lokupitiya e., wijeratne v.p.i.s.",57219222047;14016414100;57213983089;,Estimation of Soil Carbon Stocks of Urban Freshwater Wetlands in the Colombo Ramsar Wetland City and their Potential Role in Climate Change Mitigation,"Department of Zoology and Environment Sciences, University of Colombo, PO Box 1490, Colombo, 03, Sri Lanka; Department of Geography, University of Colombo, Colombo, 03, Sri Lanka","Dayathilake, D.D.T.L., Department of Zoology and Environment Sciences, University of Colombo, PO Box 1490, Colombo, 03, Sri Lanka; Lokupitiya, E., Department of Zoology and Environment Sciences, University of Colombo, PO Box 1490, Colombo, 03, Sri Lanka; Wijeratne, V.P.I.S., Department of Geography, University of Colombo, Colombo, 03, Sri Lanka",histosols; soil organic carbon stock; tropical urban wetlands
25,"frank s., gusti m., havlík p., lauri p., di fulvio f., forsell n., hasegawa t., krisztin t., palazzo a., valin h.",55584015900;57200527876;35221567100;54381839100;36508494500;26026893900;57221951622;42661638600;55821522700;35273829100;,Land-based climate change mitigation potentials within the agenda for sustainable development,"International Institute for Applied Systems Analysis, Laxenburg, Austria; Lviv Polytechnic National University, Lviv, Ukraine; College of Science and Engineering, Ritsumeikan University, Kusatsu, Japan","Frank, S., International Institute for Applied Systems Analysis, Laxenburg, Austria; Gusti, M., International Institute for Applied Systems Analysis, Laxenburg, Austria, Lviv Polytechnic National University, Lviv, Ukraine; Havlík, P., International Institute for Applied Systems Analysis, Laxenburg, Austria; Lauri, P., International Institute for Applied Systems Analysis, Laxenburg, Austria; Di Fulvio, F., International Institute for Applied Systems Analysis, Laxenburg, Austria; Forsell, N., International Institute for Applied Systems Analysis, Laxenburg, Austria; Hasegawa, T., College of Science and Engineering, Ritsumeikan University, Kusatsu, Japan; Krisztin, T., International Institute for Applied Systems Analysis, Laxenburg, Austria; Palazzo, A., International Institute for Applied Systems Analysis, Laxenburg, Austria; Valin, H., International Institute for Applied Systems Analysis, Laxenburg, Austria",afolu; biomass; ghg mitigation; modelling; sdgs
26,"leon f., ramos a., vaswani j., mendieta c., brito s.",57194451414;57221937913;57221929657;57221927680;57221926341;,Climate change mitigation strategy through membranes replacement and determination methodology of carbon footprint in reverse osmosis ro desalination plants for islands and isolated territories,"University Institute of Intelligent Systems and Numerical Applications in Engineering, Las Palmas de Gran Canaria, 35214, Spain; Departamento de Ingeniería de Procesos, Universidad de las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35214, Spain","Leon, F., University Institute of Intelligent Systems and Numerical Applications in Engineering, Las Palmas de Gran Canaria, 35214, Spain; Ramos, A., Departamento de Ingeniería de Procesos, Universidad de las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35214, Spain; Vaswani, J., Departamento de Ingeniería de Procesos, Universidad de las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35214, Spain; Mendieta, C., Departamento de Ingeniería de Procesos, Universidad de las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35214, Spain; Brito, S., Departamento de Ingeniería de Procesos, Universidad de las Palmas de Gran Canaria, Las Palmas de Gran Canaria, 35214, Spain",carbon footprint; desalination; ecological footprint; energy consumption; energy mix; reverse osmosis
27,bohdanowicz z.,57221904723;,"Different countries, common support for climate change mitigation: The case of Germany and Poland","Economic Sciences, University of Warsaw, Warsaw, 00‐241, Poland","Bohdanowicz, Z., Economic Sciences, University of Warsaw, Warsaw, 00‐241, Poland",carbon tax; climate change; climate policy; energy efficiency; public support; renewable energy
28,"zhao x., you f.",57219310888;56750277000;,"Waste respirator processing system for public health protection and climate change mitigation under COVID-19 pandemic: Novel process design and energy, environmental, and techno-economic perspectives","Systems Engineering, Cornell University, Ithaca, NY  14853, United States; Robert Frederick Smith School of Chemical and Biomolecular Engineering, Cornell University, Ithaca, NY  14853, United States","Zhao, X., Systems Engineering, Cornell University, Ithaca, NY  14853, United States; You, F., Systems Engineering, Cornell University, Ithaca, NY  14853, United States, Robert Frederick Smith School of Chemical and Biomolecular Engineering, Cornell University, Ithaca, NY  14853, United States",covid-19; life cycle assessment; process design and integration; techno-economic analysis; waste respirator processing
29,"kondo k., mabon l., bi y., chen y., hayabuchi y.",55377930600;55232476200;57220163256;57220165836;57208531289;,Balancing conflicting mitigation and adaptation behaviours of urban residents under climate change and the urban heat island effect,"Department of Environmental Design, Faculty of Design, Kyushu University, Japan; School of Applied Social Studies, Robert Gordon University, United Kingdom; Faculty of Design, Graduate School of Design, Kyushu University, Japan; Global Innovation Center, Kyushu University, Japan","Kondo, K., Department of Environmental Design, Faculty of Design, Kyushu University, Japan; Mabon, L., School of Applied Social Studies, Robert Gordon University, United Kingdom; Bi, Y., Faculty of Design, Graduate School of Design, Kyushu University, Japan; Chen, Y., Faculty of Design, Graduate School of Design, Kyushu University, Japan; Hayabuchi, Y., Global Innovation Center, Kyushu University, Japan",air conditioning; climate change communication; cooling behaviours; urban climate change; urban heat island
30,"hurlimann a., moosavi s., browne g.r.",11940457300;56921701000;57188769895;,Urban planning policy must do more to integrate climate change adaptation and mitigation actions,"Faculty of Architecture Building and Planning, The University of Melbourne, Parkville, Victoria  3010, Australia; Faculty of Architecture, Université Libre de Bruxelles, Belgium","Hurlimann, A., Faculty of Architecture Building and Planning, The University of Melbourne, Parkville, Victoria  3010, Australia; Moosavi, S., Faculty of Architecture, Université Libre de Bruxelles, Belgium; Browne, G.R., Faculty of Architecture Building and Planning, The University of Melbourne, Parkville, Victoria  3010, Australia",adaptation; climate change; government; integration; mitigation; policy; sea level rise; urban planning
31,"raymand f., ahmadi p., mashayekhi s.",57219865329;23569183500;57219872248;,Evaluating a light duty vehicle fleet against climate change mitigation targets under different scenarios up to 2050 on a national level,"School of Mechanical Engineering, College of Engineering, University of Tehran, Tehran, 11155-4563, Iran","Raymand, F., School of Mechanical Engineering, College of Engineering, University of Tehran, Tehran, 11155-4563, Iran; Ahmadi, P., School of Mechanical Engineering, College of Engineering, University of Tehran, Tehran, 11155-4563, Iran; Mashayekhi, S., School of Mechanical Engineering, College of Engineering, University of Tehran, Tehran, 11155-4563, Iran",450s scenario; emission mitigation; ghg emission; light-duty-vehicle; passenger car fleet
32,"getson j.m., sjöstrand a.e., church s.p., weiner r., hatfield j.l., prokopy l.s.",56499249800;57219563257;56425513300;57213148495;24495719200;7801522324;,Do scientists have a responsibility to provide climate change expertise to mitigation and adaptation strategies? Perspectives from climate professionals,"Purdue University, United States; Appalachian State University, United States; Montana State University, United States; USDA-ARS, United States","Getson, J.M., Purdue University, United States; Sjöstrand, A.E., Appalachian State University, United States; Church, S.P., Montana State University, United States; Weiner, R., Purdue University, United States; Hatfield, J.L., USDA-ARS, United States; Prokopy, L.S., Purdue University, United States",climate change; environmental communications; science experts
33,"bonnail e., borrero-santiago a.r., nordtug t., øverjordet i.b., krause d.f., ardelan m.v.",57039170400;57188866316;6602350585;36651545000;55819132200;28367531500;,Climate change mitigation effects: How do potential CO2 leaks from a sub-seabed storage site in the Norwegian Sea affect Astarte sp. bivalves?,"Centro de Investigaciones Costeras-Universidad de Atacama (CIC-UDA). University of Atacama, Copiapó, Chile; Department of Chemistry, Norwegian Science and Technology University (NTNU), Trondheim, Norway; SINTEF Ocean, Environment and New Resources, Trondheim, Norway","Bonnail, E., Centro de Investigaciones Costeras-Universidad de Atacama (CIC-UDA). University of Atacama, Copiapó, Chile; Borrero-Santiago, A.R., Department of Chemistry, Norwegian Science and Technology University (NTNU), Trondheim, Norway; Nordtug, T., SINTEF Ocean, Environment and New Resources, Trondheim, Norway; Øverjordet, I.B., SINTEF Ocean, Environment and New Resources, Trondheim, Norway; Krause, D.F., SINTEF Ocean, Environment and New Resources, Trondheim, Norway; Ardelan, M.V., Department of Chemistry, Norwegian Science and Technology University (NTNU), Trondheim, Norway",astarte sp.; carbon capture storage risks; co2 impacts; metal bioaccumulation; shell growth rate
34,"nawaz m.a., seshadri u., kumar p., aqdas r., patwary a.k., riaz m.",57195051876;57219218919;55776436600;57219217409;57213152869;57219217393;,Nexus between green finance and climate change mitigation in N-11 and BRICS countries: empirical estimation through difference in differences (DID) approach,"Department of Economics, The Islamia University of Bahawalpur, Bahawalpur, Pakistan; VIT-AP School of Business, Amaravati, India; School of Business, Skyline University College, Sharjah, United Arab Emirates; Department of Business Administration, Iqra University, Karachi, Pakistan; School of Tourism, Hospitality and Event Management, University Utara Malaysia, Changlun, Malaysia; Department of Economics, Ghazi University, Dera Ghazi Khan, Pakistan","Nawaz, M.A., Department of Economics, The Islamia University of Bahawalpur, Bahawalpur, Pakistan; Seshadri, U., VIT-AP School of Business, Amaravati, India; Kumar, P., School of Business, Skyline University College, Sharjah, United Arab Emirates; Aqdas, R., Department of Business Administration, Iqra University, Karachi, Pakistan; Patwary, A.K., School of Tourism, Hospitality and Event Management, University Utara Malaysia, Changlun, Malaysia; Riaz, M., Department of Economics, Ghazi University, Dera Ghazi Khan, Pakistan",co2; difference in difference; economic development; n-11 and brics countries; probit regression
